timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1671634815171,842,get-seller-product,200,OK,NormalTest 1-5,text,true,,716,466,50,50,https://market-final-project.herokuapp.com/seller/product,842,0,0
1671634813946,2067,post-seller-product,201,Created,NormalTest 1-9,text,false,"The operation lasted too long: It took 2,067 milliseconds, but should not have lasted longer than 2,000 milliseconds.",675,124328,50,50,https://market-final-project.herokuapp.com/seller/product,2067,0,0
1671634815229,792,get-seller-product,200,OK,NormalTest 1-8,text,true,,716,466,51,51,https://market-final-project.herokuapp.com/seller/product,792,0,0
1671634815172,857,get-seller-product,200,OK,NormalTest 1-4,text,true,,716,466,51,51,https://market-final-project.herokuapp.com/seller/product,857,0,0
1671634815642,451,post login,201,Created,NormalTest 1-26,text,true,,525,388,51,51,https://market-final-project.herokuapp.com/auth/login,451,0,0
1671634814440,1722,post-seller-product,201,Created,NormalTest 1-1,text,true,,675,124337,52,52,https://market-final-project.herokuapp.com/seller/product,1722,0,0
1671634815156,1019,post login,201,Created,NormalTest 1-27,text,true,,525,388,52,52,https://market-final-project.herokuapp.com/auth/login,1019,0,0
1671634815657,519,post login,201,Created,NormalTest 1-28,text,true,,525,388,52,52,https://market-final-project.herokuapp.com/auth/login,519,0,0
1671634815391,864,post login,201,Created,NormalTest 1-25,text,true,,525,388,53,53,https://market-final-project.herokuapp.com/auth/login,864,0,0
1671634815665,652,post login,201,Created,NormalTest 1-32,text,true,,525,388,53,53,https://market-final-project.herokuapp.com/auth/login,652,0,0
1671634814305,2150,post-seller-product,201,Created,NormalTest 1-11,text,false,"The operation lasted too long: It took 2,150 milliseconds, but should not have lasted longer than 2,000 milliseconds.",675,124283,55,55,https://market-final-project.herokuapp.com/seller/product,2150,0,0
1671634814019,2449,post-register,201,Created,NormalTest 1-31,text,false,"The operation lasted too long: It took 2,449 milliseconds, but should not have lasted longer than 2,000 milliseconds.",574,866,55,55,https://market-final-project.herokuapp.com/auth/register,2449,0,1052
1671634815726,755,post login,201,Created,NormalTest 1-24,text,true,,525,388,55,55,https://market-final-project.herokuapp.com/auth/login,755,0,0
1671634815395,1092,get-seller-product,200,OK,NormalTest 1-3,text,true,,716,466,55,55,https://market-final-project.herokuapp.com/seller/product,1091,0,0
1671634815673,827,get-seller-product,200,OK,NormalTest 1-13,text,true,,716,466,55,55,https://market-final-project.herokuapp.com/seller/product,827,0,0
1671634814507,1993,post-seller-product,201,Created,NormalTest 1-16,text,true,,675,124283,55,55,https://market-final-project.herokuapp.com/seller/product,1993,0,0
1671634814619,1894,post-register,201,Created,NormalTest 1-37,text,true,,573,870,55,55,https://market-final-project.herokuapp.com/auth/register,1894,0,1141
